Metabolite,FXS1,FXS3,TD4,TD6
1-Aminocyclopropanecarboxylic acid,4140713.18,9557776.54,11082750.8,10083460.4
2-Amino-2-deoxy-D-mannose,889320.781,1081880.76,3325731.93,2929023.19
3-Aminoisobutanoic acid,139573201,39967445.7,190468898,72603236
3-Dehydroxycarnitine,105083117,159364713,143510553,145162624
3-Methylhistidine,6113473.03,5838131.76,11438283.5,9863583.43
4-Acetamidobutanoic acid,5841709.45,3157688.55,4691744.86,5390147.84
4-Guanidinobutanoic acid,30379704.4,15448897.4,16616034,15865900.1
5-Amino-levulinic acid,417776486,749096888,727520663,830268935
5-Aminopentanoic acid,7188863.34,6130649.16,9895219.52,5360062.36
5''-Methylthioadenosine,6393384.85,5541644.15,3709467.52,4148722.51
Acetylcholine,8352845.76,12313957.1,10942528,11462078.2
AcetylCoA,97981.7734,425199.186,518761.622,20340.9197
Adenine,6951381,7271310.85,6016248.76,7919377.43
Alanine,73063977,186477936,92024315.5,147726532
Allothreonine,29454263.3,59084869.1,71559756.9,65194015.4
alpha-Aminoadipic acid,3915939.71,3549571.82,3995973.26,4761173.35
Anserine,1597590.6,1303557.33,1441032.6,2110988.86
Argininosuccinic acid,2632319.59,9895000.25,2811871.43,5473077
Asparagine,81464836.2,128943416,122221304,142717819
beta-Alanine,73063977,186477936,92024315.5,147726532
Betaine,745409857,2175035740,3525043028,1974966572
Biotin,3681705.06,2407939.63,2712259.31,3274348.5
CAR 16:0,33066.9024,236196.169,240275.975,97528.8598
CAR 2:0,304903893,341610797,299084213,361081660
Carnitine,709002492,826069025,449802396,706294200
Carnosine,10681624,6757447.16,11347748,14437885.5
CDP choline,1846096.75,790060.923,2117477.32,786322.85
Choline,33602395.8,18754904.2,21294256.6,40709538.3
Choline phosphate,2914358637,5479695210,6491932755,5610180399
cis-4-Hydroxy-D-proline,426035357,758693363,736529100,841305437
Citrulline,11262846.8,6920473.33,12616709.2,11289829.2
Coenzyme A,709001.182,563754.408,252964.745,355240.343
Creatine,2870521607,1323684246,2525349412,1677117241
Creatinine,420786877,373219169,518480995,581189035
Cystathionine,469092.96,1366365.84,403047.463,2472325.55
Cytosine,15040870.7,15814438.3,14589255.6,21163784.4
DAlanine,75867425.1,189457225,93076478.7,151794479
Dethiobiotin,3112467.98,2940481.73,2084611.44,2321223.11
Diethanolamine,75380696,65534092.9,55015533.2,57637315.9
Dihydrouracil,687552.324,465196.897,793719.945,678286.281
Glucosamine,887481.951,1078821.81,3310660.26,2939875.82
Glutamine,2415590965,2184959394,3462987133,3284479588
Glutathione,204346880,405039825,295754253,330675870
Glycine,3857297.05,6229934.14,7999048.48,6738530.79
Guanidoacetic acid,61395415.3,12533871.9,78034016.5,37468694.3
Homoserine,29595663.4,59239027,71176318.8,66355634.6
Hypotaurine,61655540,29099737.6,56754347.1,31562823
Hypoxanthine,10035972.6,11558534.3,12873461.1,7500495.84
Inosine,862734.841,4313037.62,2725421.41,2972356.18
Isoleucine,309740171,216887961,341585004,341371281
Kynurenine,385043.052,238633.094,327974.37,524460.248
Leucine,170102273,136834035,260045641,229002765
Methionine,56341806.5,55429473.3,87882759.6,80942834.5
N-Acetylasparagine,220637.973,288287.703,492908.68,332910.772
N-Acetyl-D-galactosamine,533706.975,921293.811,1122049.21,1016908.95
N-Acetylneuraminic acid,1215711.73,1194523.46,1882462.83,1420912.73
NAD+,64614320.2,48150653.2,60316920,44469166.2
NADP+,2082233.62,1630652.43,3262534.85,2101750.17
Niacinamide,97472095.3,186844306,140045886,161274635
N-Methylalanine,14862166.2,13193878.9,19790596.6,17129815.2
Norleucine,147427521,119751594,228088837,198606382
Norvaline,745409857,2175035740,3525043028,1974966572
Ophthalmic acid,58596.6441,28081.6071,868099.734,237781.346
o-Succinylhomoserine,1346709.24,918288.156,749177.839,926383.014
Oxidized glutathione,13314257.6,19941544.4,23986752.3,28625841.4
Pantothenic acid,434588018,293416736,338652678,370091479
Phenylalanine,61266470.3,65232011.6,113927449,99793051.7
Phosphoethanolamine,3514367.65,7158227.41,89410822.3,9594586.72
Proline,7880896606,5284639736,7963710734,5288512104
Pyridoxal,17916955.8,7438134.56,12419213.8,12459763.5
S-Adenosylhomocysteine,2662278.06,1891771.29,2292537.05,2078575.95
S-Adenosylmethionine,13189086.5,8841939.48,7921207.2,9455147.36
Sarcosine,73063977,186477936,92024315.5,147726532
Serine,2709742.53,8207726.81,12930273.9,9658461.13
Taurine,344017365,202072416,312012626,216390758
Thiamine,3163881.9,839487.51,1209541.8,2308691.83
Threonine,32309960.7,63656331.4,77355123,69241797.6
trans-4-Hydroxyproline,411950864,735951848,720139230,820808218
Trigonelline,1510858.16,1387483.1,3363922.78,2508220.63
Tryptophan,9380476.68,11059322.8,17763380.8,18627288.1
Tyrosine,21639100.3,27889524.1,38647326.5,43421408.2
Valine,745409857,2175035740,3525043028,1974966572
